BHK,Location,Size(sq.ft),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For
2,Kadubeesanahalli,1210,150000,21000,Semi Furnished,3-5 years ,Family
2,Sivanchetti Gardens,750,200000,22000,Semi Furnished,3-5 years ,All
1,Aecs Layout Singasandra,500,50000,10000,Semi Furnished,Newly Constructed,Family
3,Bellandur,1879,250000,43000,Semi Furnished,5-10 years ,All
3,Rr Nagar,1620,100000,20000,Semi Furnished,3-5 years ,Family
2,Bellandur,1060,150000,25000,Full Furnished,5-10 years ,Family
2,Uttarahalli Hobli,1300,100000,24000,Semi Furnished,>10 years ,All
2,Whitefield,1275,120000,19000,Semi Furnished,5-10 years ,Family
2,Bhoganhalli,1150,125000,22000,Semi Furnished,5-10 years ,Family
3,Hebbal Kempapura,1324,150000,27500,Semi Furnished,>10 years ,Family
3,Muneshwara Nagar,1800,100000,21000,Semi Furnished,5-10 years ,Family
2,Kadubeesanahalli,1210,150000,21000,Semi Furnished,3-5 years ,Family
2,Sivanchetti Gardens,750,200000,22000,Semi Furnished,3-5 years ,All
1,Aecs Layout Singasandra,500,50000,10000,Semi Furnished,Newly Constructed,Family
3,Bellandur,1879,250000,43000,Semi Furnished,5-10 years ,All
3,Rr Nagar,1620,100000,20000,Semi Furnished,3-5 years ,Family
2,Bellandur,1060,150000,25000,Full Furnished,5-10 years ,Family
2,Uttarahalli Hobli,1300,100000,24000,Semi Furnished,>10 years ,All
2,Whitefield,1275,120000,19000,Semi Furnished,5-10 years ,Family
2,Bhoganhalli,1150,125000,22000,Semi Furnished,5-10 years ,Family
3,Hebbal Kempapura,1324,150000,27500,Semi Furnished,>10 years ,Family
2,Kadugondanahalli,700,10000,9000,Semi Furnished,1-3 years ,All
2,Horamavu,1100,100000,20000,Semi Furnished,>10 years ,Family
2,Sai Sumukha Sterling,1105,120000,18600,Semi Furnished,1-3 years ,All
3,Bhoganhalli,1300,150000,25000,Semi Furnished,1-3 years ,Family
3,Mangammanapalya,1400,170000,17000,Semi Furnished,5-10 years ,Family
3,Hosapalya,1564,250000,35000,Semi Furnished,Newly Constructed,All
2,Whitefield,1195,160000,25000,Full Furnished,1-3 years ,All
3,Akshayanagar,1670,250000,26000,Semi Furnished,5-10 years ,All
4,Kanakpura,2400,300000,30000,Full Furnished,5-10 years ,Family
2,Whitefield,1200,100000,20000,Semi Furnished,5-10 years ,All
3,Brookefield,1900,200000,35000,Semi Furnished,Newly Constructed,All
3,Garvebhavi Palya,1512,150000,38000,Semi Furnished,1-3 years ,All
2,Begur,700,70000,10000,UnFurnished,1-3 years ,Family
2,Rajajinagar,1250,125000,17000,Semi Furnished,3-5 years ,Family
2,Kadubeesanahalli,1150,100000,20000,Semi Furnished,3-5 years ,Family
3,Narayanapura,1500,180000,32000,Full Furnished,5-10 years ,Family
2,Jayanagar,1000,220000,22000,Semi Furnished,>10 years ,Family
1,Hsr Layout,800,100000,15000,Semi Furnished,1-3 years ,Family
2,Kh Road,900,200000,20000,Semi Furnished,>10 years ,All
2,Kh Road,900,200000,20000,Semi Furnished,>10 years ,All
2,Virupakshapura,1156,150000,19000,Semi Furnished,>10 years ,All
3,Vijaya Nagar,1800,200000,33000,Semi Furnished,>10 years ,Family
1,Indira Nagar,550,1000000,https://images.nobroker.in/images/8a9f91dd75503b1d01755083ac1321a4/8a9f91dd75503b1d01755083ac1321a4_89429_91714_medium.jpg,Semi Furnished,1-3 years ,All
2,Hsr Layout,1000,150000,22000,Semi Furnished,1-3 years ,Family
2,Nagondanahalli,1000,120000,18000,Semi Furnished,Newly Constructed,Family
2,Btm 1st Stage,930,150000,18000,Semi Furnished,5-10 years ,Family
3,Kaikondrahalli,1600,80000,19000,Semi Furnished,1-3 years ,All
3,Whitefiled,1890,112500,37500,Semi Furnished,1-3 years ,Family
1,Begur,400,30000,7000,Semi Furnished,1-3 years ,Family
3,Banashankari,1200,190000,19000,Semi Furnished,5-10 years ,Family
2,Hsr Layout,800,80000,23000,Semi Furnished,1-3 years ,All
2,Chikkakannalli,1026,240000,24000,Semi Furnished,1-3 years ,All
2,Chikkakannalli,1150,100000,19000,Semi Furnished,3-5 years ,All
3,Mathikere,1230,210000,22000,Semi Furnished,>10 years ,All
3,Virupakshapura,1400,80000,20000,Semi Furnished,5-10 years ,All
2,Mahadevapura,1242,300000,35000,Full Furnished,5-10 years ,All
3,Sanjay Nagar,2415,300000,34000,Semi Furnished,>10 years ,Family
3,Harlur,1565,150000,35000,Full Furnished,5-10 years ,All
2,Indiranagar,680,180000,18000,Semi Furnished,>10 years ,All
1,Hongasandra,550,50000,8500,Semi Furnished,1-3 years ,Family
2,Kodandarama Nagar,1100,5000,16500,Semi Furnished,3-5 years ,Family
1,Hsr Layout,450,50000,11000,Semi Furnished,Newly Constructed,All
3,Mahadevapura,1560,100000,28000,Semi Furnished,5-10 years ,All
1,Indiranagar,650,60000,13000,Semi Furnished,5-10 years ,All
3,Bilekahalli,1570,200000,27000,Semi Furnished,>10 years ,All
2,Jp Nagar,1040,150000,23000,Semi Furnished,>10 years ,Family
3,Bommenahalli Village,1165,100000,17000,Semi Furnished,Newly Constructed,All
2,Kasavanahalli,973,150000,22000,Semi Furnished,3-5 years ,All
2,Westline College,750,100000,10000,Semi Furnished,1-3 years ,All
2,Westline College,750,100000,10000,Semi Furnished,1-3 years ,All
2,Bellandur,1050,150000,30000,Full Furnished,>10 years ,All
3,Jp Nagar 7th Phase,1750,180000,25000,Semi Furnished,>10 years ,Family
2,Sahakar Ngr,1100,200000,20000,Semi Furnished,3-5 years ,All
2,Banaswadi Ramurthy Nagar Main Rd,1040,200000,20000,Semi Furnished,3-5 years ,Family
2,Armane Nagar,700,150000,16500,Semi Furnished,3-5 years ,Family
2,Whitefield,1100,100000,22000,Semi Furnished,3-5 years ,Family
3,Haralur Main Rd,1770,150000,30000,Semi Furnished,5-10 years ,All
3,Kyalasanahalli,1482,150000,25000,Semi Furnished,Newly Constructed,Family
3,Whitefield,1315,120000,25000,Full Furnished,3-5 years ,All
2,Kasavanahalli,900,80000,18000,Semi Furnished,Newly Constructed,All
1,Nagarbhavi,500,75000,8000,Semi Furnished,3-5 years ,Family
2,Brookefield,1200,150000,23000,Semi Furnished,3-5 years ,Family
2,Hongasandra,1265,150000,16000,Semi Furnished,3-5 years ,Family
1,Kasavanahalli,600,50000,11800,Semi Furnished,Newly Constructed,All
3,Brookefield,1264,50000,30000,Full Furnished,>10 years ,All
2,Balagere,1210,175000,30000,Semi Furnished,Newly Constructed,All
1,Balagere,660,100000,20000,Semi Furnished,1-3 years ,All
3,Chikkakannalli,1446,100000,31000,Full Furnished,3-5 years ,All
2,Old Airport,1300,220000,30000,Semi Furnished,5-10 years ,Family
3,Rr Nagar,1415,160000,16500,Semi Furnished,5-10 years ,Family
3,Arekere,1600,80000,25000,Semi Furnished,>10 years ,All
2,Cox Town,1040,150000,19500,Semi Furnished,5-10 years ,Family
2,Kasavanahalli,1890,150000,40000,Full Furnished,1-3 years ,All
3,Subramanyapura,1710,200000,24000,Semi Furnished,1-3 years ,Family
1,Sanjaynagar,600,120000,12000,Semi Furnished,Newly Constructed,All
2,Thanisandra,1100,200000,21000,Full Furnished,3-5 years ,All
4,Whitefield,3635,500000,68000,Semi Furnished,1-3 years ,Bachelors
2,Koramangala,1300,150000,26000,Semi Furnished,>10 years ,All
3,Shanti Nagar,1500,200000,34000,Semi Furnished,>10 years ,Family
2,Chikkakannalli,1264,150000,22000,Full Furnished,1-3 years ,All
2,Konanakunte,1238,140000,14000,Semi Furnished,5-10 years ,Family
2,Hennur Gardens,900,50000,15000,Semi Furnished,1-3 years ,All
1,Hoodi,500,50000,8500,Semi Furnished,1-3 years ,Family
2,Sahakar Nagar,750,150000,18000,Semi Furnished,Newly Constructed,Family
2,Rt Nagar,1000,200000,20000,Semi Furnished,5-10 years ,Family
2,Koramangala,600,120000,16000,Semi Furnished,5-10 years ,All
3,Malleswaram,1400,300000,30000,Semi Furnished,Newly Constructed,All
2,Doddakannelli,1100,120000,25000,Semi Furnished,1-3 years ,All
2,Sahakar Nagar,1100,45000,15500,Semi Furnished,3-5 years ,Family
2,Sahakar Nagar,1100,45000,15500,Semi Furnished,3-5 years ,Family
2,Vrr Vista Apartments,1040,100000,18000,Semi Furnished,1-3 years ,All
2,Rr Nagar,750,75000,11000,Semi Furnished,5-10 years ,All
3,Indira Nagar,1450,200000,33000,Semi Furnished,>10 years ,All
3,Electronic City Phase I,1565,70000,20000,Semi Furnished,5-10 years ,Family
2,Kodihalli,1050,300000,28000,Semi Furnished,>10 years ,Family
1,Murgesh Pallya,700,70000,12000,Semi Furnished,5-10 years ,All
2,Sultanpalya,1200,180000,16500,Semi Furnished,>10 years ,All
2,Chikkabellandur,1272,100000,22000,Semi Furnished,1-3 years ,All
3,Marathahalli,1534,200000,30000,Semi Furnished,>10 years ,Family
3,Basavanagara,1600,200000,31000,Semi Furnished,3-5 years ,Family
2,Banswadi,1200,150000,22500,Semi Furnished,5-10 years ,Family
2,Chambenahalli,995,100000,15000,Semi Furnished,1-3 years ,All
2,Whitefield,800,40000,16000,Semi Furnished,Newly Constructed,All
3,Doddakannelli,1320,80000,21000,Semi Furnished,3-5 years ,Family
2,Mahadevapura,850,85000,15500,Semi Furnished,Newly Constructed,All
3,Whitefield,1500,125000,22500,Semi Furnished,5-10 years ,Family
2,Whitefield,985,120000,17000,Semi Furnished,3-5 years ,All
2,Arekere,1150,100000,17000,Semi Furnished,3-5 years ,Family
2,Kadubeesanahalli,1195,150000,27000,Semi Furnished,1-3 years ,All
2,Kadubeesanahalli,1195,150000,27000,Semi Furnished,1-3 years ,All
2,Jp Nagar,1210,250000,25000,Semi Furnished,5-10 years ,All
2,Bellandur,1093,100000,21500,Semi Furnished,3-5 years ,All
2,Mahadevapura,1120,100000,17500,Semi Furnished,5-10 years ,Family
2,Horamavu,1200,60000,14000,Semi Furnished,3-5 years ,Family
3,Near Adarsh Palm Retreat.,1650,150000,25000,Semi Furnished,3-5 years ,Family
2,Electronic City,1250,100000,19000,Semi Furnished,Newly Constructed,All
3,Whitefield,1600,150000,23000,Semi Furnished,Newly Constructed,All
2,Jayanagar,1150,200000,30000,Semi Furnished,1-3 years ,Family
